gamma_usado,k_usado,E_s_cm,Var_s_cm2,lambda1,lambda2,residuo,moda_cm,entropia,cond_num,valida,motivo,Suelo_ID
1.6211110802849724,4.2164932814890354e-07,0.008888652867483988,2.460515832371541e-06,185.3785833478859,100000.0,8.14617885777406e-05,0.008894455646328717,0.0009630708481761365,4542641.700827156,False,lambda2 edge (100000.00),1
1.6104035434654733,4.990509110520738e-07,0.010084231950703019,2.4693022061852944e-06,240.39039088912733,100000.0,0.00010415289677736451,0.010274050189977513,0.0010475315698182733,3487518.4442042345,False,lambda2 edge (100000.00),1
1.6824653030831964,1.5307894697738645e-07,0.004439922358796769,2.345444004623404e-06,41.3535868042833,100000.0,2.205585785630653e-05,0.004648565796280992,0.0005879002729561962,21368912.424603466,False,lambda2 edge (100000.00),1
1.625850741930638,5.91768126455935e-07,0.5000000049999993,0.08340550154630116,-100000.0,100000.0,0.45743881919280166,0.9645937035317568,0.06805688771734374,32.05252090023072,False,lambda2 edge (100000.00),1
1.6426482421342217,9.258689171930293e-07,0.5000000049999993,0.08340550154630116,-100000.0,100000.0,0.46909935900010463,0.9645937035317568,0.06805688771734374,32.05252090023072,False,lambda2 edge (100000.00),1
1.745265284925099,3.534011064894887e-07,0.00242947525106196,2.055275114949135e-06,7.170000231228872,100000.0,7.951861178201921e-06,0.0028063439656078864,0.0003696742147033518,108248527.3372371,False,Unstable condition (1.08e+08),1
1.7477288728703542,3.257583231940052e-08,0.002380166387888261,2.0411334567641906e-06,6.560789001188991,100000.0,7.705794182640285e-06,0.0028063439656078864,0.0003637247569966142,115096049.48530516,False,Unstable condition (1.15e+08),1
1.8396398033103614,4.874804025734712e-07,0.0012928776077246265,1.5300913980600196e-06,-4.362315579436786,100000.0,3.1936734008920626e-06,0.0018208491703838258,0.00022244114979734167,799863885.5596116,False,Unstable condition (8.00e+08),1
1.7956838068125716,9.190269992321418e-08,0.0016733614299244616,1.7618361414550565e-06,-1.0619994674848334,100000.0,4.560475693886405e-06,0.0021032760754306603,0.0002743179925713934,347034969.0277181,False,Unstable condition (3.47e+08),1
1.7216645827095403,4.957999244109757e-07,0.5000000049999993,0.08340550154630116,-100000.0,100000.0,0.5276811345676403,0.9645937035317568,0.06805688771734374,32.05252090023072,False,lambda2 edge (100000.00),1
1.834456613743746,5.760107718523147e-07,0.0013294618502903853,1.5556037983782421e-06,-4.067276838945505,100000.0,3.3138401935546003e-06,0.0018208491703838258,0.00022756490252596055,731386004.7685025,False,Unstable condition (7.31e+08),1
1.7183723502642385,2.7430590646097465e-07,0.5000000049999993,0.08340550154630116,-100000.0,100000.0,0.5251334280556148,0.9645937035317568,0.06805688771734374,32.05252090023072,False,lambda2 edge (100000.00),1
1.6828922493356382,5.254656784468225e-07,0.004419720623216054,2.3440940883630704e-06,40.916422971259074,100000.0,2.1869454189350365e-05,0.004648565796280992,0.0005859055614446936,21605988.515187006,False,lambda2 edge (100000.00),1
1.7097278650762617,3.139595908152712e-08,0.003356409150594473,2.2405418825225152e-06,20.620664893858933,100000.0,1.3505512204288346e-05,0.003611851958639004,0.0004756834091223649,43438433.05186921,False,lambda2 edge (100000.00),1
1.8065729810485895,8.971991641213691e-07,0.0015620379182086207,1.7012644610464867e-06,-2.082189413484893,100000.0,4.1266019489118025e-06,0.0020288068591494037,0.0002594479539371429,433777301.8725428,False,Unstable condition (4.34e+08),1
1.6350622722496528,5.584957821036589e-07,0.007552672777245503,2.4453978293437285e-06,132.09276099270073,100000.0,5.9479155360520893e-05,0.007700112397901567,0.0008616517768698582,6423053.167773778,False,lambda2 edge (100000.00),1
1.627143935283861,6.755176921094136e-07,0.00828214653630106,2.4545467633451713e-06,160.11757093844557,100000.0,7.103748070566077e-05,0.00857953591279118,0.0009180161943576735,5275037.123637645,False,lambda2 edge (100000.00),1
